ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,THRESHOLD MESSAGE (MAX),MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MIN)
2769,0.03 Mbit/s,4336.8,09-02-2024 13:49,not_Set,0.03 Mbit/s,4003.2,09-02-2024 17:06,not_set
2718,19 Mbit/s,2375628.7,09-02-2024 16:38,not_Set,0.79 Mbit/s,98495.7958,09-02-2024 18:58,not_set
2719,143 Mbit/s,17883867.9,09-02-2024 14:00,MAX SPEED for ID 2719 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),3.56 Mbit/s,444794.4945,09-02-2024 17:51,not_set
2720,31 Mbit/s,3813702.305,09-02-2024 14:34,MAX SPEED for ID 2720 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),8.43 Mbit/s,1053390,09-02-2024 17:39,not_set
2721,110 Mbit/s,13770916.9,09-02-2024 16:40,MAX SPEED for ID 2721 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),1 Mbit/s,124683.4331,09-02-2024 19:10,not_set
2722,30 Mbit/s,3749337.5,09-02-2024 14:34,MAX SPEED for ID 2722 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),8.41 Mbit/s,1051378.3,09-02-2024 17:39,not_set
2723,0.47 Mbit/s,58464.6647,09-02-2024 14:36,not_Set,0.10 Mbit/s,11945.3908,09-02-2024 18:39,not_set
2724,0.04 Mbit/s,5517.3,09-02-2024 14:08,not_Set,0.04 Mbit/s,4897.5976,09-02-2024 14:07,not_set
2729,3.37 Mbit/s,420981.5816,09-02-2024 17:00,not_Set,0.02 Mbit/s,2346,09-02-2024 18:58,not_set
2730,0.05 Mbit/s,6361.6617,09-02-2024 19:02,MAX SPEED for ID 2730 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),0.02 Mbit/s,2162,09-02-2024 13:56,not_set
2731,0.01 Mbit/s,1600.6006,09-02-2024 19:02,MAX SPEED for ID 2731 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),< 0.01,601.001,09-02-2024 14:06,not_set
2732,3.14 Mbit/s,392807.9079,09-02-2024 15:23,MAX SPEED for ID 2732 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),< 0.01,521.2212,09-02-2024 18:55,not_set
2733,< 0.01,1121.8437,09-02-2024 19:09,,,,,Error processing CSV data for ID 2733: could not convert string to float: '<'
2734,0.47 Mbit/s,59210.2102,09-02-2024 14:36,not_Set,0.09 Mbit/s,11770.6,09-02-2024 18:49,not_set
2735,0.04 Mbit/s,5465.6,09-02-2024 13:51,not_Set,0.04 Mbit/s,4954.3086,09-02-2024 13:58,not_set
9772,16 Mbit/s,1947848.759,09-02-2024 19:17,not_Set,0.07 Mbit/s,8472.9545,09-02-2024 18:31,not_set
9775,3.75 Mbit/s,468549.725,09-02-2024 14:20,not_Set,0.06 Mbit/s,7877.2795,09-02-2024 16:22,not_set
9773,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
9774,32 Mbit/s,3983684.05,09-02-2024 15:10,not_Set,0.26 Mbit/s,32938.3103,09-02-2024 19:15,not_set
9776,7.84 Mbit/s,980309.8516,09-02-2024 14:08,not_Set,< 0.01,343.8167,09-02-2024 13:54,not_set
9778,12 Mbit/s,1550611.152,09-02-2024 18:54,not_Set,0.07 Mbit/s,8184.0807,09-02-2024 19:03,not_set
9779,3.73 Mbit/s,466353.6667,09-02-2024 14:20,not_Set,0.06 Mbit/s,7864.4107,09-02-2024 16:14,not_set
9780,32 Mbit/s,3983249.508,09-02-2024 15:11,not_Set,0.27 Mbit/s,33235.7226,09-02-2024 19:16,not_set
9781,7.85 Mbit/s,981367,09-02-2024 14:08,not_Set,< 0.01,340.8167,09-02-2024 14:20,not_set
9782,32 Mbit/s,3950132.055,09-02-2024 15:11,not_Set,0.26 Mbit/s,32055.2908,09-02-2024 19:16,not_set
9783,7.83 Mbit/s,978769.795,09-02-2024 14:08,not_Set,< 0.01,450.8333,09-02-2024 13:54,not_set
9784,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
9785,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
9786,31 Mbit/s,3932021.6,09-02-2024 15:10,not_Set,0.24 Mbit/s,30455.6167,09-02-2024 19:10,not_set
9787,7.85 Mbit/s,981830.2884,09-02-2024 14:06,not_Set,< 0.01,318.0167,09-02-2024 14:20,not_set
9788,31 Mbit/s,3932381.647,09-02-2024 15:11,not_Set,0.27 Mbit/s,33372.1954,09-02-2024 19:11,not_set
9789,7.93 Mbit/s,991874.3791,09-02-2024 13:58,not_Set,< 0.01,423.1872,09-02-2024 13:54,not_set
9795,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
9796,< 0.01,107.2357,09-02-2024 14:02,not_Set,< 0.01,51.6328,09-02-2024 18:22,not_set
9797,< 0.01,114.7358,09-02-2024 18:26,not_Set,< 0.01,51.6081,09-02-2024 15:53,not_set
9798,< 0.01,235.3667,09-02-2024 17:26,not_Set,< 0.01,159.9133,09-02-2024 16:04,not_set
9799,< 0.01,201.3004,09-02-2024 17:25,not_Set,< 0.01,167.0722,09-02-2024 17:06,not_set
9800,< 0.01,91.0318,09-02-2024 15:15,not_Set,< 0.01,33.9887,09-02-2024 15:28,not_set
9801,< 0.01,90.95,09-02-2024 18:26,not_Set,< 0.01,33.9943,09-02-2024 15:53,not_set
9802,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
9803,< 0.01,204.9675,09-02-2024 19:12,not_Set,< 0.01,137.9667,09-02-2024 15:30,not_set
9804,< 0.01,171.9907,09-02-2024 17:25,not_Set,< 0.01,137.9667,09-02-2024 15:30,not_set
